職缺,公司名稱,公司地址,學歷,科系,薪資,工作內容,擅長工具,其他條件
後端工程師,新新管理顧問有限公司,南投縣草屯鎮 , , ,"月薪　50,000 至 100,000元 ","
                        【招募條件】- 熟悉 MVC 觀念。- 具備 C# 語言開發經驗。- 具備系統設計相關經驗。- 具備RESTFul或與客戶後端API相關經驗。- SQL資料庫基本操作。- 兩年以上專案開發經驗。【加分條件】- 其他程式語言開發經驗。- 有 git 版控經驗。- 有socket開發經驗。- 具備 CI / CD 相關知識。- 區塊鏈資訊技術。
",擅長工具1.Git2.ASP.NET3.MS SQL, 
後端工程師,開源智造股份有限公司,台北市南港區 ,專科以上,電算機相關,"月薪　35,000元以上 ","
                        工作内容：深度學習服務後端系統架構設計與開發職務技能：1. 熟悉Python2. 熟悉Database語法3. 熟悉Tensorflow/Pytorch等Deep Learning Frameworks4. 熟悉RESTful API5. 熟悉Linux作業系統6. 熟悉Docker Container實作7. 2-3年後端系統開發經驗
",程式設計：Python作業系統：LINUX,"
                        人格特質：1. 反應快2. 抗壓性強3. 具責任感4. 學習力強5. 邏輯思考能力佳語言能力：英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等
                        "
後端工程師,豐碩資訊有限公司,高雄市三民區 ,無限制,不拘,"月薪　30,000 至 40,000元 ","
                        1.熟系SQL 基本語法 2.使用過C# 3.具有基礎Html5,CSS,JavaScript能力 4.具有關聯性資料庫設計及維護經驗 5.具有與前端工程師溝通共同規劃 API 串接能力 有以下經驗尤佳1. 使用過Git及Angular相關經驗尤佳2. 提供Demo專案說明自己的程式設計風格及程式開發習慣
                        ", , 
後端工程師(Node.js)_汐止_20537,緯創資通股份有限公司,新北市汐止區 ,大學以上,資訊工程學類、資訊管理學類、電機電子工程相關,薪資面議(經常性薪資達4萬元含以上) ,"
                        1. 設計、開發、測試、部署後端服務及API。2. 建置高可靠性的後端架構。3. 參與Code Review以維持團隊程式碼品質。4. 持續改進軟體開發流程。
                        ", ,"
                        必要條件:1. 熟悉使用NodeJS開發API。2. 熟悉使用Docker部署。3. 熟悉使用任一關連式資料庫。(例如: mySQL, postgreSQL)4. 熟悉使用Git版本控管。加分條件:1. 有Kubernetes相關經驗。2. 有CI/CD和DevOps相關經驗。3. 有分散式系統架構或微服務架構相關經驗。4. 有雲端架構相關經驗。(例如: AWS)
                        "
前後端工程師_汐止_20127,緯創資通股份有限公司,新北市汐止區 ,大學以上,電算機相關、資訊管理學類,薪資面議(經常性薪資達4萬元含以上) ,"
                        1. 協助使用者釐清需求，並對需求進行可行性分析及提供解決方案。2. 負責系統架構、模組與系統安全設計。3. 負責設計系統DevOps執行流程 (部署/測試/監控/營運)。4. 設計資料結構、處理流程與儲存架構。5. 協助技術團隊完成專案開發。
                        ", ,"
                        1. 熟悉前後端開發open source套件與流程2. 熟悉Agile software development流程3. 對前後端開發些有著墨者佳4. 此工作需要常常與團隊溝通，需有良好的團隊溝通處理經驗5. 有K8s /Rancher/Dockerize經驗佳6. 有Azure AZ-302 or AZ-304加分
                        "
後端工程師-  遠端工作,新新管理顧問有限公司,南投縣草屯鎮 , , ,"月薪　40,000 至 100,000元 ","
                        【招募條件】- 熟悉 MVC 觀念 。- 具備 C# 語言開發經驗。- 具備系統設計相關經驗。- 具備RESTFul或與客戶後端API相關經驗。- SQL資料庫基本操作。- 兩年以上專案開發經驗。【加分條件】- 其他程式語言開發經驗。- 有 git 版控經驗。- 有socket開發經驗。- 具備 CI / CD 相關知識。- 區塊鏈資訊技術。
","擅長工具
1.Git
2.ASP.NET
3.MS SQL", 
後端工程師(資訊部),(聯邦銀行)聯邦商業銀行股份有限公司,台北市內湖區 ,大學以上,資訊管理學類、資訊工程學類,"月薪　30,000元以上 ","
                        1.系統開發維護
                        ",程式設計：JAVA資料庫：DB2,"
                        1. 熟悉JAVA2. 有資料庫使用經驗，熟悉DB2尤佳3. 有RESTFUL 經驗尤佳4. 有 API 開發經驗尤佳
                        "
Backend Engineer (Java 後端工程師),泰奈科技有限公司,台北市中山區 ,無限制,不拘,薪資面議(經常性薪資達4萬元含以上) ,"
                        We are looking for a Backend Software Engineer to join our team to serve our growing client base.The successful candidate will be someone who has experience from designing and delivering a number of software/infrastructure solutions.【What Youll Do】 ● Work with a focus on providing the best technical support to our customers. ● Collaborate with a diverse background of the product, and operations team members to deliver the best solution for our customers. ● Architect and build data pipelines that ingest and process large quantities of structured and unstructured data from varied sources. ● Take on the challenge of making what you build higher quality, faster, and more scalable. ● Research, learn and work with the newest tools. ● Work with a focus on quality. ● Develop high-quality, maintainable, and scalable solutions. ● Design, code review, static analysis, continuous integration. ● Participating in continuing education and training to remain current on best practices, learn new programming languages, and better assist other team members. ● Be on a pager duty rotation to respond to availability incidents.【What Youll Bring】 ● BSc or MSc degree in Computer Science or related technical fields. ● 3+ years of experience as a backend developer. ● Exposure to a wide range of open source technologies and best software practices. ● A pragmatic attitude and approach to solving problems. ● Willingness to work in a fast-paced environment, learn new technologies, and software. ● Ability to quickly prototype ideas. ● Must be a team player. ● Excellent communication and interpersonal skills. ● Excellent analytical skills. ● Have strong knowledge of Java (preferably Java 8). ● Have experience with relational and NoSQL databases. ● Rock-solid on coding and testing best practices. ● Language requirement: Chinese (Native) + English (Working proficiency).
                        ",程式設計：JAVA、Spring作業系統：Mac OS資料庫：PostgreSQL程式設計：Github,"
                        【Bonus Points】 ● Experience of microservices architecture. (development and testing) ● Have experience with a range of open source Java libraries and frameworks, for example, Spring, Hibernate…etc. ● Familiarity with REST Web Services. ● Experience with version control systems (ideally Git). ● Cloud application development like AWS, GCP... ● Experience with both functional and imperative programming. ● Experience with automation testing frameworks/test automation tools like Selenium or Serenity. ● Experience writing and performing load testing using tools like JMeter, or Gatling. ● Experience testing Angular applications and associated tools like Protractor. ● Experience with NodeJS, Typescript & GraphQL.【What We Offer for You】 ● Year-end bonus. ● Holiday bonus for the three important Chinese holidays. ● Birthday gift / Birthday leave. ● Menstrual leave. ● Complete training (professional skills and language skills). ● Annual leave better than the law.
                        "
PHP Backend Engineer PHP 後端工程師,巨石創意有限公司,台北市大安區 ,專科以上,資訊工程學類,"月薪　40,000 至 55,000元 ","
                        1. 建置、管理與維護公司的網路系統和資料2. 網站架構、流量控管、網路安全規劃及問題排除3. 設計、開發新的網路程式4. 修正現有的網路系統程式，並與新開發的系統整合5. 公司網頁的設計、維護及管理如果您具備以下工作技能及工作經驗，請不要猶豫立即手刀提出申請：1. 保持開放，善於傾聽2. 熟悉任一物件導向程式語言3. 熟悉 Web 程式開發及 HTTP protocol4. 熟悉SQL或NoSQL資料庫5. 熟悉Linux6. 熟悉Git7. 對程式品質、程式可維護性、 Testable code 有堅持
                        ",MySQL- Professional、MySQL- Core、進階ERP規劃師、ERP軟體顧問師、ERP軟體應用師,"
                        熟悉Linux開發環境,php+mySQL的開發方式,有電商平台購物類開發經驗,熟悉JAVA,PYTHON,Android與IOS開發更佳
                        "
資深Java後端工程師 (TOC),城邦文化事業股份有限公司,台北市中山區 ,專科以上,不拘,薪資面議(經常性薪資達4萬元含以上) ,"
                        1. 使用 Java 進行系統後端的API及相關功能開發維護2. 與APP工程師、前端工程師合作開發3. 系統的品質保證及問題排除4. 跨團隊合作開發5. Restful API串接6. 文件撰寫7. Test Case/ Unit Test 撰寫(M)8. 其他交辦事項加分條件1. 有大流量大併發經驗2. 了解使用Nginx進行反向代理及Load Balance, High Availability3. CI/CD使用經驗(TeamCity, Jenkins)4. 程式重構經驗
                        ",程式設計：JAVA、Spring,"
                        1. Spring Boot, Spring MVC, Spring Security 使用經驗(Must)2 Hibernate/EBean/JPA, Log4j, Swagger, Maven 使用經驗(Must)3. Firebase, Postman 使用經驗4. DB: Any rational database, Redis 使用經驗(Must)5. Version Control : Git/Git hub/GGit lab(Must) 6. ToolsTrello, Hotjar, GA, GTM, Line API, Slack7. Web Server : Nginx/Apache/Tomcat(Must)8. Cloud : GCP/AWS9. Linux 基本操作(Must)10. 網頁技術 : JSP,AngularJs,JQuery,Bootstrap,Node.js, React,Redux, Redis, WebPack(加分)
"
